CURSO,DESCRIPCION,CALIFICACION
Python TOTAL - Programador Avanzado en 16 días,"Desde 0, y con 16 proyectos REALES. 160 ejercicios de código. Machine Learning, Data Science, Django, IGU, Juegos y más!",4.78
Universidad Python - Cero a Experto - Actualizado (+86 hrs),"Aprende <strong>Python</strong>: Tkinter, Web Django y Flask, PySide, POO, Jinja, SQL Alchemy, MySql, Postgresql, PyCharm y mucho más!",4.71
Python para Data Science & Machine Learning en 18 Días,"Data Science extremo con Numpy, Pandas, Matplotlib, Seaborn, Scikit Learn, Tensorflow, Machine Learning, y todo lo demás",4.75
Ultimate Python: de cero a programador experto,Conviértete en programador experto viendo desde lo básico hasta lo más avanzado de <strong>Python</strong>,4.73
Curso completo de Python: Programación en Python desde cero,"Aprende a programar en <strong>Python</strong> y a resolver problemas reales utilizando clases, objetos, ficheros, bucles y mucho más!",4.74
Python desde Principiante hasta Nivel Ingeniería,"<strong>Python</strong> desde cero con muchos ejercicios prácticos! Tipos de datos, estructuras de flujo, manejo de errores, POO y más!",4.85
Curso Maestro de Python: De Cero a Programador Todoterreno,"Aprenderás <strong>Python</strong> y sus mejores módulos: Tkinter, SQLite, Numpy, Pandas, Matplotlib, Pipenv, Django, FastAPI, Bs4 y más!",4.63
Python Aplicado: 5 Proyectos Reales de Principio a Fin,"Desarrolla apps reales con <strong>Python</strong>. Interfaces Gráficas (GUI) atractivas y Programas Ejecutables. PyGame, TKinter, y más",4.73
Python Hacking: Ciberseguridad y Hacking Ético con Python,Domina la Ciberseguridad y el Hacking Ético con <strong>Python</strong>: Aprende a defender y atacar sistemas con programación en <strong>Python</strong>.,4.77
Curso de Python desde cero hasta nivel experto,Aprende los fundamentos de la programación con <strong>Python</strong> desde cero hasta conseguir un nivel avanzado.,4.72
"Master en Python: Aprender Python 3, Django, Flask y Tkinter",Aprende a programar desde cero con <strong>Python</strong> 3 y desarrollo web con los frameworks Django 3 y Flask paso a paso (+30 horas),4.62
Python Practicando. Desde 0 hasta Desarrollador en Python,"Aprende <strong>Python</strong>, donde iniciamos desde 0, sin conocimientos previos hasta desarrollar aplicaciones con mucha practica!",4.63
Curso completo de Python 3 de la A a la Z - 2022  +50 horas!,Aprende <strong>Python</strong> 3 como un profesional empezando por las bases hasta programar tus propios algoritmos o juegos completos,4.81
Automatiza Tu Vida Con Python + ChatGPT [2024],"Automatiza la web, Excel, correos electrónicos, archivos, carpetas y más con <strong>Python</strong> | Automatiza tu vida con ChatGPT",4.59
Curso completo de Python 2024-De cero a Master con Python 3,"Desarrollo web con Python3, Flask, Django y conoce todo desde cero SQLite3, HTML, CSS para crear aplicaciones WEB",4.51
Machine Learning y Data Science: Curso Completo con Python,"Aprende Machine Learning y Data Science con <strong>Python</strong>, ¡conviértete en un experto en Machine Learning con <strong>Python</strong>!",4.73
Curso Maestro: Visualizaciones y Análisis de Datos en Python,"Análisis de Datos en <strong>Python</strong> desde CERO | +45 Visualizaciones de Datos | <strong>Python</strong>, Pandas, Matplotlib, Plotly y + | Tableau",4.73
"Python sin fronteras: HTML, CSS, Flask y MySQL",Conviértete en un experto en <strong>Python</strong> con este curso que te enseña a programar desde cero,4.72
Python en Excel - Análisis de Datos FÁCIL con la Función PY,"Guía completa. Conoce la nueva integración de <strong>Python</strong> para Análisis Avanzado en Microsoft Excel. Seaborn, Matplotlib y +",4.85
