HORA,CIUDAD,TEMPERATURA
13:11,Santiago de Chile,25°
13:11,Buenos Aires,22°
17:11,Madrid,12°
13:12,Santiago de Chile,25°
13:12,Buenos Aires,22°
17:12,Madrid,12°
13:13,Santiago de Chile,25°
13:13,Buenos Aires,23°
17:13,Madrid,12°
13:14,Santiago de Chile,25°
13:14,Buenos Aires,23°
17:14,Madrid,13°
13:15,Santiago de Chile,25°
13:16,Buenos Aires,23°
17:16,Madrid,13°
13:17,Santiago de Chile,25°
13:17,Buenos Aires,23°
17:17,Madrid,13°
13:18,Santiago de Chile,27°
13:18,Buenos Aires,23°
17:18,Madrid,13°
13:19,Santiago de Chile,27°
13:19,Buenos Aires,23°
17:19,Madrid,13°
13:26,Santiago de Chile,27°
13:26,Buenos Aires,23°
17:26,Madrid,12°
22:18,Santiago de Chile,20°
22:18,Buenos Aires,23°
2:18,Madrid,5°
