nombre,precio,descripcion,localizacion,imagen
3bhk flat for lease with all facilities at hoodi near chaitanya school,"₹ 20,00,000",3 Bds - 2 Ba - 1200 ft2,"HOODI, BENGALURU",https://apollo.olx.in/v1/files/ew8ou209ok722-IN/image;s=272x0
Brand new geyser 25ltr five star Aquafresh with warranty 5year,"₹ 3,499",Sin información,"SECTOR 45C, CHANDIGARH",https://apollo.olx.in/v1/files/ec7l5ubzr46c3-IN/image;s=272x0
Apple iphone 15 pro max,"₹ 55,000",Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/ykzt58jpjw6l3-IN/image;s=272x0
Samsung galaxy s24 ultra .with bill box refurbished mobile available,"₹ 32,499",Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/0oaogxy1q8cs-IN/image;s=272x0
Maruti Suzuki Baleno 2018 July Model 2 nd,"₹ 5,75,000","2018 - 60,000 km","SAMUDRAPUR MIDC, MAHARASHTRA",https://apollo.olx.in/v1/files/vcujvrydtjmk-IN/image;s=272x0
Maruti Suzuki Wagon R 1.0 2019 Petrol 42000 Km Driven,"₹ 5,10,000","2019 - 42,000 km","BIDKAR WARD, HINGANGHAT",https://apollo.olx.in/v1/files/xwozir4yzkum1-IN/image;s=272x0
Agriculture land with farm,"₹ 30,00,000",Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/ld5qi1hmdb9w-IN/image;s=272x0
Smart Watch For Men's Small Prices,₹ 499,Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/tc6sd6zfy1rh2-IN/image;s=272x0
We have new latest collection 5g watch online order book,"₹ 2,000",1 Bds - 1 Ba - 40 ft2,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/iwxfkqbb2cwi2-IN/image;s=272x0
New Check Shirts for Men (Pack of 4) OFFER HOME DELIVERY ALL INDIA COD,"₹ 1,000",Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/lfe3xhapevwq1-IN/image;s=272x0
we have new latest collection combo pecks online order book,"₹ 2,000",1 Bds - 1 Ba - 30 ft2,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/bxlasa9f063a2-IN/image;s=272x0
Solid 35 liter casual bag,₹ 499,Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/rjs4sul3zffp3-IN/image;s=272x0
Cod available,₹ 600,Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/omsgb1w89ywj2-IN/image;s=272x0
eWools Men Solid Winter Wear Full Sleeves Windcheater Jackets,₹ 699,Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/9uxhsgk1meg62-IN/image;s=272x0
New M10/M28 Wireless Earbuds TWS 5.1 HOME DELIVERY ALL INDIA COD YES,₹ 600,Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/s7lvnb7gd3n63-IN/image;s=272x0
Cod available,"₹ 1,000",Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/8y9rmc6k6d3o1-IN/image;s=272x0
Canon EOS 9000d 55-250mm lens,"₹ 30,900",Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/vu345qdh8aj31-IN/image;s=272x0
Watch Crystal,"₹ 3,000",Sin información,"RAMDASPETH, NAGPUR",https://apollo.olx.in/v1/files/j4xgp23ojkfi-IN/image;s=272x0
3000 LUMENS YOUTUBE WIFI SMART FULL HD VIDEO PROJECTOR HDMI USB AV AUX,"₹ 4,999",Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/3q4y7hw3bdg22-IN/image;s=272x0
Philips Hair Straightener,₹ 950,Sin información,"EKORI WARD, CHANDRAPUR",https://apollo.olx.in/v1/files/8f4spudr93t81-IN/image;s=272x0
500 Sqyards Plot For Sale in Omaxe Phase 1 New Chandigarh.,"₹ 3,75,00,000",Sin información,"NEW CHANDIGARH, CHANDIGARH",https://apollo.olx.in/v1/files/vt812z5hhndg1-IN/image;s=272x0
"Maruti Suzuki Swift 2004-2010 VDI BSIV W ABS, 2010, Diesel","₹ 2,45,000","2010 - 86,552 km","KHAIRTABAD, HYDERABAD",https://apollo.olx.in/v1/files/jihf0fm02whe2-IN/image;s=272x0
iPhone 12 GB,"₹ 9,500",Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/jnnah52by10b2-IN/image;s=272x0
128 GB iPhone 12,"₹ 9,500",Sin información,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/hwc4uib8frjy1-IN/image;s=272x0
Maruti Suzuki Swift Dzire 2014 Diesel Well Maintained,"₹ 5,75,000","2014 - 86,200 km","GOMAJI WARD, HINGANGHAT",https://apollo.olx.in/v1/files/lbmc18dlr1052-IN/image;s=272x0
Maruti Suzuki 800 2007 Petrol 41500 Km Driven,"₹ 45,000","2007 - 41,500 km","SHASTRI WARD, HINGANGHAT",https://apollo.olx.in/v1/files/sl7xyz2u32bu3-IN/image;s=272x0
We have new latest collection ultra sim watches online order book,"₹ 2,000",1 Bds - 1 Ba - 30 ft2,"SAMUDRAPUR, MAHARASHTRA",https://apollo.olx.in/v1/files/kg1gmr0vsitu-IN/image;s=272x0
Bodycon mini dress,₹ 800,Sin información,"POLICE NAGAR, NAGPUR",https://apollo.olx.in/v1/files/n2wovvcg13q03-IN/image;s=272x0
Arjant sel,"₹ 10,00,000",Sin información,"SANT TUKDOJI WARD, HINGANGHAT",https://apollo.olx.in/v1/files/b45rzjs5nkdn-IN/image;s=272x0
Bridal Lehenga,"₹ 25,000",Sin información,"ARYA NAGAR, NAGPUR",https://apollo.olx.in/v1/files/9d6iumeqs1ex-IN/image;s=272x0
Fully furnish shop with cabin and parking,"₹ 5,000",Sin información,"RAM NAGAR WARD, HINGANGHAT",https://apollo.olx.in/v1/files/78rm1krv0bek2-IN/image;s=272x0
